t,Original,Heun,Euler,Actual
0.43,4.2982052567368,4.30102758365368,4.30102758365368,4.30101818944663
0.44,4.28522320416944,4.28808235919632,4.28808235919632,4.28807284216628
0.45,4.27237097212774,4.27526593972232,4.27526593972232,4.27525630324355
0.46,4.25964726240646,4.26257704362208,4.26257704362208,4.26256729101385
0.47,4.2470507897824,4.25001440203804,4.25001440203804,4.2500045365654
0.48,4.23458028188458,4.23757675873777,4.23757675873777,4.23756678361228
0.49,4.22223447906573,4.22526286998832,4.22526286998832,4.22525278836883
0.5,4.21001213427507,4.21307150443194,4.21307150443194,4.21306131942527
0.51,4.19791201293232,4.20100144296284,4.20100144296284,4.20099115762453
0.52,4.185932892803,4.18905147860536,4.18905147860536,4.18904109594039
0.53,4.17407356387497,4.17722041639324,4.17722041639324,4.17720993935671
0.54,4.16233282823622,4.16550707325013,4.16550707325013,4.16549650474798
0.55,4.15070949995386,4.15391027787129,4.15391027787129,4.15389962076097
0.56,4.13920240495432,4.14242887060647,4.14242887060647,4.14241812769763
0.57,4.12781038090477,4.13106170334393,4.13106170334393,4.13105087739907
0.58,4.11653227709573,4.11980763939566,4.11980763939566,4.1197967331308
0.59,4.10536695432477,4.10866555338368,4.10866555338368,4.10865456946901
0.6,4.09431328478152,4.09763433112751,4.09763433112751,4.09762327218805
0.61,4.08337015193371,4.08671286953279,4.08671286953279,4.086701738149
0.62,4.07253645041437,4.07590007648094,4.07590007648094,4.07588887518935
0.63,4.06181108591023,4.06519487071995,4.06519487071995,4.06518360201379
0.64,4.05119297505112,4.05459618175629,4.05459618175629,4.0545848480861
0.65,4.04068104530061,4.04410294974781,4.04410294974781,4.04409155352203
0.66,4.03027423484761,4.03371412539782,4.03371412539782,4.0337026689834
0.67,4.01997149249913,4.02342866985011,4.02342866985011,4.02341715557309
0.68,4.00977177757414,4.01324555458511,4.01324555458511,4.01323398473118
0.69,3.9996740597984,4.00316376131698,4.00316376131698,4.00315213813211
0.7,3.98967731920041,3.99318228189188,3.99318228189188,3.99317060758282
0.71,3.97978054600841,3.98330011818706,3.98330011818706,3.98328839492193
0.72,3.96998274054832,3.97351628201109,3.97351628201109,3.97350451191994
0.73,3.96028291314284,3.96382979500508,3.96382979500508,3.9638179801804
0.74,3.95068008401141,3.95423968854478,3.95423968854478,3.95422783104207
0.75,3.9411732831713,3.94474500364376,3.94474500364376,3.94473310548203
0.76,3.93176155033959,3.93534479085751,3.93534479085751,3.93533285401982
0.77,3.92244393483619,3.92603811018847,3.92603811018847,3.92602613662246
0.78,3.91321949548783,3.9168240309921,3.9168240309921,3.91681202261045
0.79,3.90408730053295,3.90770163188373,3.90770163188373,3.90768959056471
0.8,3.89504642752762,3.89867000064649,3.89867000064649,3.89865792823444
0.81,3.88609596325234,3.88972823414005,3.88972823414005,3.88971613244588
0.82,3.87723500361982,3.88087543821036,3.88087543821036,3.880863309012
0.83,3.86846265358362,3.87211072760017,3.87211072760017,3.87209857264307
0.84,3.85977802704779,3.86343322586054,3.86343322586054,3.86342104685816
0.85,3.85118024677731,3.85484206526323,3.85484206526323,3.85482986389745
0.86,3.84266844430953,3.84633638671386,3.84633638671386,3.8463241646355
0.87,3.83424175986644,3.83791533966606,3.83791533966606,3.83790309849528
0.88,3.82589934226778,3.82957808203638,3.82957808203638,3.82956582336316
0.89,3.8176403488451,3.82132378012012,3.82132378012012,3.82131150550469
0.9,3.80946394535665,3.81315160850793,3.81315160850793,3.8131393194812
0.91,3.80136930590308,3.80506075000327,3.80506075000327,3.80504844806727
0.92,3.79335561284405,3.79705039554074,3.79705039554074,3.79703808216903
0.93,3.78542205671561,3.78911974410511,3.78911974410511,3.7891074207432
0.94,3.77756783614845,3.78126800265126,3.78126800265126,3.78125567071704
0.95,3.76979215778697,3.77349438602488,3.77349438602488,3.773482046909
0.96,3.7620942362091,3.76579811688394,3.76579811688394,3.76578577195022
0.97,3.75447329384701,3.75817842562094,3.75817842562094,3.7581660762068
0.98,3.74692856090854,3.75063455028601,3.75063455028601,3.7506221977028
0.99,3.73945927529945,3.74316573651067,3.74316573651067,3.74315338204409
1,3.73206468254646,3.73577123743239,3.73577123743239,3.73575888234288
